2D First,Participant,Condition,Order,Observations,proportion,count,"Enjoy -  Any verbal expression of enjoyment (laugh, like, fun)","Not Enjoy - any verbal expression/word of non-enjoyment (sigh, frustration, dislike, uncomfort)",Memorability - received via email,Rationale - about their rationale for picking the shapes,Perception - about different ways they perceive the pictograph or shape or 2d or vr,Estimation - About their strategy of estimation of proportions or quantities,Challenging - Indication that it was difficult challenging for them,"Experience - Reference to an Experience, lived or not",Memory of Past Experience,World - Reference to the Real World,Senses - Referece to Physical Senses,Abstract - Reference to Abstract Concepts/Emotions,Symbolism - conventional representations,Personal - Making it personal,Aesthetics,Order effect - Influenced/inspired by the previous conditions
1,P3,VR-B,23,Maybe this is my first experience so my mind is more fixated on the 2D.,,,,,,,,,1,,,,,,,,,
1,P3,VR-B,24,"Rough count – literally count row – about 100, about 400-500 again, and <try counting> about 200.",,correct-over,,,,,,1,1,,,,,,,,,
1,P13,VR-B,25,"15% neutral, 50% negative, 35% positive",correct,,,,,,,1,,,,,,,,,,
1,P13,VR-B,27,Geee that’s hard. Sigh,,,,1,,,,,1,,,,,,,,,
1,P9,VR-B,27,"Laugh – pretty hard – im going to guess 250 neutral, 200 of neg, 100 positive.",,correct-under,,,,,,1,1,,,,,,,,,
1,P13,VR-B,28,"Purple 50 –(counting)  100 , orange 240, blue 300.",,correct,,,,,,1,,,,,,,,,,
1,P7,VR-B,34,My week was terrible. I think there are more or less the same than what they were on computer,,,,,,,,1,,,,,,,,,,1
1,P7,VR-B,35,4d of bad. 2d on neutral looks a bit bigger. 1d of good  ¼ of negative,correct,,,,,,,1,,,,,,,,,,
1,P7,VR-B,36,100 postive 200-250  400-500,,correct-over,,,,,,1,,,,,,,,,,
1,P7,VR-B,37,Looks slightly bigger,,,,,,,,,,,,,,,,,,
1,P5,VR-B,44,Laugh 4 times,,,4,,,,,,,,,,,,,,,
1,P5,VR-B,45,Walks funny - like a robot,,,1,,,,,,,,,,,,,,,
1,P5,VR-B,46,"Bad – proportions 3 times as bad as good, neutral was somewhere in the middle",correct,,,,,,,1,,,,,,,,,,
1,P5,VR-B,47,"Counting function on the other ones 100 positive, 200 puprple, 300-400 blue.",,correct-over,,,,,,1,,,,,,,,,,
0,P2,VR-C,4,I’ll need to stand to do that,,,,,,,,,1,,,,,,,,,
0,P10,VR-C,5,Im just playing around. If im trying to compare quantities ill go for one but its more fun with different shapes.,,,1,,,1,,,,,,,,,,,,
0,P2,VR-C,5,"turn head to ""scope them all out""",,,,,,,,,1,,,,,,,,,
0,P10,VR-C,7,"<neg star, swirl neutral, pyramid orange>",,,,,,,,,,,,,,,,,,
0,P6,VR-C,7,"Stick with the donuts, probably because they were the first thing I saw and fit with neutral",,,,,,1,,,,,,,,,,,,1
0,P2,VR-C,8,Pretty swirls,,,,,,,,,,,,,,,,,1,
0,P10,VR-C,8,Star looks a bit smaller so they don’t really go with the rest,,,,,,1,,,,,,,,,,,,
0,P2,VR-C,9,Cone and pyramid look cool,,,,,,,,,,,,,,,,,1,
0,P10,VR-C,9,Better than the other week. Less of a roller coaster. Very good week alost out of room. More positive of neutral and a little bit of negative,,,,,,,,,,,,,,,,,,
0,P6,VR-C,9,2 to 1 pos to neg. 3 to 2 neutral to pos. 4 to 2 neutral to neg,correct,,,,,,,1,,,,,,,,,,
0,P2,VR-C,10,Flowers pretty,,,,,,,,,,,,,,,,,1,
0,P10,VR-C,10,Proportions: oh man,,,,,,,,1,1,,,,,,,,,
0,P12,VR-C,10,No talk aloud for 5 minutes,,,,,,,,,1,,,,,,,,,
0,P6,VR-C,10,"Oh maybe 50ish neg, 150 in neutral, 100 on positive side",,under,,,,,,1,,,,,,,,,,
0,P10,VR-C,11,"Alsmot 4 times pos than neg, then maybe 1.5 pos neutral,",over,,,,,,,1,,,,,,,,,,
0,P10,VR-C,12,"Count: oh man, huh, 120 positive, 100 for neutral, 30 negative",,under,,,,,,1,,,,,,,,,,
0,P12,VR-C,12,Neutral – somewhat abstract - rectangle,,,,,,,,,,,,,,,,,,
0,P8,VR-C,13,This is very nice.,,,1,,,,,,,,,,,,,,,
0,P12,VR-C,15,%Has not change. 80 15 5,,under,,,,,,1,,,,,,,,,,1
0,P8,VR-C,15,"For neutral, I don’t want to select something that is very pointed.",,,,,,1,,,,,,,,,,,,
0,P12,VR-C,16,"Positive: 1000, 500, negative 3000",,over,,,,,,1,,,,,,,,,,
0,P2,VR-C,16,"Negative 120, 150 -160 on neutrals, 220-250 range for positive",,correct-under,,,,,,1,,,,,,,,,,
0,P8,VR-C,16,I would to go with the rectangle. It goes with very plain and neutral,,,,,,1,,,,,,,,,,,,
0,P2,VR-C,17,"Combined 50% positive, rest is neutral+negative, split 2/3 neutral 1/3 negative",correct,,,,,,,1,,,,,,,,,,
0,P8,VR-C,18,"Proportions: neutral 500, 400, happiness 250",,over,,,,,,1,,,,,,,,,,
0,P8,VR-C,19,Quantity same.,,,,,,,,1,,,,,,,,,,1
0,P4,VR-C,23,<Flipping through shapes really quickly>,,,,,,,,,,,,,,,,,,
0,P4,VR-C,24,I like the double mapping – color and shape,,,1,,,,,,,,,,,,,,1,
0,P4,VR-C,26,Just for me – Ill make a little more interesting to look at if it is just for me.,,,,,,,,,,,,,,,,1,,
1,P9,VR-C,28,"Im sort of looking through get a feel for different shapes. Again really boring. I do feel that I am boring myself a little bit. But a lot of these things I don’t really associate with positive and negative. Some of these shapes are different volumes, so I want to make sure they are the same volumes so I can more easily compare the groups.",,,,1,,,,,1,,,,,,,,,
1,P9,VR-C,29,"Not going to the aesthetics but look at comparable shapes, half spheres.",,,,1,,,,1,,,,,,,,,,
0,P4,VR-C,30,"Positive – half sphere, donut, little storm",,,,,,,,,,,,,,,,,,
1,P9,VR-C,30,"Proportions -  positive little less than neutral 90% of neutral area, neg is about half the neutral area.",over,,,,,,,1,,,,,,,,,,
1,P9,VR-C,31,"Counts: pos- 250 neutral, pos 200-200, neg 100.",,correct-under,,,,,,1,,,,,,,,,,
1,P13,VR-C,32,Negative ones. I don’t know you know.,,,,,,,,,1,,,,,,,,,
1,P13,VR-C,33,[negative] I would pick something geometric but really small. I want to know but I don’t what them too strong.,,,,,,1,,,,,,,,,,,,
1,P13,VR-C,34,"I never want to see how negative I was, I want to see how positive instead, even if i had some negative.",,,,,,1,,,,,,,,,,,,
0,P4,VR-C,34,"Negative week it looks like, like the first dataset, 60%negative, 35%",,,,,,,,1,,,,,,,,,,
0,P4,VR-C,35,"Not true actually - 40% negative, 35% neutral, 30% positive",correct-under,,,,,,,1,,,,,,,,,,
0,P4,VR-C,36,I want to count – I would lay it out in the distance.,,,,,,,,1,1,,,,,,,,,
1,P13,VR-C,38,"Proportions: 15% neg, 35% neutral, rest positive",correct,,,,,,,1,,,,,,,,,,
0,P4,VR-C,38,,,,,,,,,,,,,,,,,,,
1,P13,VR-C,39,"Count: ohh 300 postivite, 180 neutral, hmmm 110 negative.",,correct,,,,,,1,,,,,,,,,,
0,P4,VR-C,39,,,,,,,,,,,,,,,,,,,
0,P4,VR-C,40,"Positive 100, negative 200-250, 160 or so of neutral.",,under,,,,,,1,,,,,,,,,,
1,P11,VR-C,41,"Count: 53 pos, 181 neutrals and 99 negatives",,under,,,,,,1,,,,,,,,,,
1,P5,VR-C,48,Flipping through,,,,,,,,,,,,,,,,,,
1,P5,VR-C,49,Laugh,,,1,,,,,,,,,,,,,,,
1,P5,VR-C,53,Wooow squiglly,,,,,,,,,,,,,,,,,,
1,P5,VR-C,58,Stars are kind of nice.,,,,,,,,,,,,,,,,,,
1,P5,VR-C,59,"Balls no, not really feeling it",,,,,,,,,,,,,,,,,,
1,P7,VR-C,61,Oh gosh <trying to figure out> there are a lot of shapes,,,,,,,,1,1,,,,,,,,,
1,P7,VR-C,62,"Too many shapes to choose them, want to filter them by categories",,,,,,,,,1,,,,,,,,,
1,P7,VR-C,63,I like all the round ones,,,,,,,,,,,,,,,,,,
1,P5,VR-C,64,Sigh,,,,1,,,,,,,,,,,,,,
1,P7,VR-C,64,Terrible for counting,,,,,,1,,1,,,,,,,,,,
1,P5,VR-C,65,"Thinking of emotion, you know, none of them resonate.",,,,1,,,,,,,,,,,,1,,
1,P7,VR-C,67,"Do I like this, do I not like this. I don’t know",,,,,,,,,1,,,,,,,,1,
1,P7,VR-C,68,I like the swirl but hard to count – too much going on,,,,,,,,1,1,,,,,,,,1,
1,P7,VR-C,69,Sigh,,,,1,,,,,,,,,,,,,,
1,P5,VR-C,69,Because it is so hard. Im tempted to use different icons for each. Cause I cannot get the info I want anyways.,,,,,,,,,1,,,,,,,,,
1,P7,VR-C,70,Look for reference and change when I did not want to,,,,,,,,,,,,,,,,,,
1,P7,VR-C,71,Finding a neutral shape. Hard time.,,,,,,,,,1,,,,,,,,,
1,P7,VR-C,72,I want to like exit the one I don’t like: star double everything plus bad. rectangle,,,,1,,,,,1,,,,,,,,,
1,P5,VR-C,72,Rectangles for negative,,,,,,1,,,,,,,,,,,,
1,P5,VR-C,74,laugh,,,1,,,,,,,,,,,,,,,
1,P7,VR-C,74,I don’t like how drops condense at the end,,,,,,,,,,,,,,,,,,
1,P3,VR-C,75,Oh nice,,,1,,,,,,,,,,,,,,,
1,P5,VR-C,75,"happy is at least 3 times as big as sad, maybe 4",correct,,,,,,,1,,,,,,,,,,
1,P3,VR-C,76,Now im scrolling through,,,,,,,,,,,,,,,,,,
1,P5,VR-C,76,neutral is at least double than sad,,,,,,,,1,,,,,,,,,,
1,P5,VR-C,77,"blue 100, purple 200, 400 orange",,correct-over,,,,,,1,,,,,,,,,,
1,P7,VR-C,77,Spiral and star and other flowery too much going on,,,,,,1,,,,,,,,,,,,
1,P3,VR-C,78,I don’t if we get very much from getting a different shape from thoughts or emotions.,,,,,,1,,,,,,,,,,,,
1,P5,VR-C,78,I find it really hard.,,,,,,,,,1,,,,,,,,,
1,P7,VR-C,79,"Ball, rectangle, star spiky",,,,,,,,,,,,,,,,,,
1,P3,VR-C,80,Given that a solid shape is better,,,,,,1,,,,,,,,,,,,
1,P3,VR-C,83,Little shapes make it look very busy,,,,,,,,,,,,,,,,,1,
1,P3,VR-C,84,More solid shapes,,,,,,,,,,,,,,,,,,
1,P7,VR-C,84,"¼ good to bad days, 2 times neutral to positive, half neutral as bad",over,,,,,,,1,,,,,,,,,,
1,P3,VR-C,85,Balls or cubes,,,,,,,,,,,,,,,,,,
1,P7,VR-C,85,"Sticking 100 positive, 200 neutral, 400 negative",,correct-over,,,,,,1,,,,,,,,,,
1,P3,VR-C,86,The same shape and let the color reflect the same categories,,,,,,,,,,,,,,,,,,
1,P7,VR-C,86,<actually counting> 18X18,,,,,,,,1,1,,,,,,,,,
1,P3,VR-C,87,Uniformity,,,,,,,,,,,,,,,,,,
1,P3,VR-C,91,Visual appeal – pref more into right angles that the cubes have. But then its harder to count from a practical standpoints.,,,,,,,,,,,,,,,,,1,
1,P3,VR-C,93,Im surprised that I am actually struggling quite a lot between negative and positive. Depending. But then something feels a little off.,,,,,,,,1,1,,,,,,,,,
1,P3,VR-C,94,Blue feels less dense.,,,,,,,,1,,,,,,,,,,
1,P3,VR-C,95,Totally confused with the layout,,,,,,,,1,1,,,,,,,,,
1,P3,VR-C,96,Initial hunch was right. Only slightly more.,,,,,,,,1,,,,,,,,,,
0,P4,VR-D,3,I feel 3D is more fun –,,,1,,,,,,,,,,,,,,,
0,P12,VR-D,3,Color – primary colors or a theme of colors,,,,,,,,,,,,,,,,,,
0,P8,VR-D,3,<has depth perception issues. Struggles with drawing training>,,,,,,,,,1,,,,,,,,,
0,P12,VR-D,4,Im picking in this spectrum – teal color,,,,,,,,,,,,,,,,,,
0,P4,VR-D,5,Making a ball and then drawing rays,,,,,,,,,,,,,,,,,,
0,P12,VR-D,6,"Neutral – grey just a straight, maybe something in the middle",,,,,,,,,,,,,,,,,,
0,P4,VR-D,7,Moving to draw in different plan,,,,,,,,,,,,,,,,,,
0,P12,VR-D,8,"%80% positive, 10-15% neutral 5% negative",over,,,,,,,1,,,,,,,,,,
0,P4,VR-D,8,Moving to drawn in many different plans,,,,,,,,,,,,,,,,,,
0,P12,VR-D,9,"Count: positive: 100, neutral:200, 1/3 of neutral = 50",,under,,,,,,1,,,,,,,,,,
0,P4,VR-D,9,Does not really look at the result,,,,,,,,,,,,,,,,,,
0,P4,VR-D,10,Does not look as nice – does not really look professionnal,,,,,,,,,,,,,,,,,1,
0,P8,VR-D,10,Oh wow I like it,,,1,,,,,,,,,,,,,,,
0,P4,VR-D,11,Hard to draw with these controllers,,,,1,,,,,1,,,,,,,,,
0,P6,VR-D,11,Lets stick with the theme,,,,,,,,,,,,,,,,,,1
0,P8,VR-D,11,"I think I had a week that had so many moments. Followed some neutral, less sad moments. To have so many happy moments.",,,,,,,,1,,,,,,,,,,
0,P4,VR-D,12,Easier to draw in 2d than perspective in 3D,,,,,,,,,1,,,,,,,,,
0,P6,VR-D,12,Stick with the background- fill it,,,,,,,,,,,,,,,,,,1
0,P8,VR-D,12,"If happy is 1000 neutral 700, sad 300",,over,,,,,,1,,,,,,,,,,
0,P4,VR-D,13,This makes it even worse,,,,,,,,,1,,,,,,,,1,
0,P6,VR-D,14,Not an artist,,,,,,,,,,,,,,,,1,,
0,P10,VR-D,14,Oh god hard to draw,,,,,,,,,1,,,,,,,,,
0,P4,VR-D,14,Grab a shape and add.,,,,,,,,,,,,,,,,,,
0,P10,VR-D,15,Laugh,,,1,,,,,,,,,,,,,,,
0,P6,VR-D,15,Laugh,,,1,,,,,,,,,,,,,,,
0,P10,VR-D,16,Laugh,,,1,,,,,,,,,,,,,,,
0,P4,VR-D,16,Does not try things. Since im not so sure what to do im going to make a cube.,,,,1,,,,,1,,,,,,,,,
0,P6,VR-D,16,Green stuff somewhere,,,,,,,,,,,,,,,,,,
0,P4,VR-D,17,Not a fan. Don’t like that,,,,1,,,,,,,,,,,,,1,
0,P10,VR-D,18,"Would be cool if I can do multiple shapes of green. Laugh it looks interesting, I don’t know what it looks like.",,,1,,,,,,1,,,,,,,,,
0,P4,VR-D,18,Makes a diamond,,,,,,,,,,,,,,,,,,
0,P6,VR-D,18,No brown.,,,,,,,,,,,,,,,,,,
0,P6,VR-D,19,Tedious to fill 3D shapes,,,,,,,,,1,,,,,,,,,
0,P10,VR-D,20,"Neutral – teal is kind of fun. I was doing this kind of thing the circle I was curious what it would look like,trying to draw a globe with more of the perpendicular circles (inspiration from training).",,,,,,,,,,,,,,,,,1,1
0,P2,VR-D,20,This is really quite interesting – im trying to build something in 3D,,,1,,,,,,,,,,,,,,,
0,P4,VR-D,20,"Different dataset, it was still kind of sad",,,,,,,,1,,,,,,,,,,1
0,P6,VR-D,20,Horribly misshaping them,,,,,,,,,1,,,,,,,,,
1,P11,VR-D,21,3D solid shape would be kind of nice.,,,,,,,,,1,,,,,,,,,
0,P4,VR-D,21,Some moments that were positive and neutral moments,,,,,,,,1,,,,,,,,,,
1,P11,VR-D,22,I wish I got a more darker green,,,,,,,,,,,,,,,,,,
0,P4,VR-D,22,Pos:<counting> 100  N:<counting>130  Neg: 160,,under,,,,,,1,,,,,,,,,,
1,P11,VR-D,23,Laugh,,,1,,,,,,,,,,,,,,,
0,P10,VR-D,23,"Proportions: oh man, huh. Negative 1.5 to 2 times the neutral, positive is like a third of neutral or a quarter.",correct,,,,,,,1,1,,,,,,,,,
0,P2,VR-D,23,Im doing my best to not mess it up,,,,,,,,,1,,,,,,,,,
1,P11,VR-D,24,Its kind of fun,,,1,,,,,,,,,,,,,,,
0,P6,VR-D,24,Laugh,,,1,,,,,,,,,,,,,,,
0,P10,VR-D,24,"Count: 25 happy, 90ish neutral, 150 negative.",,under,,,,,,1,,,,,,,,,,
0,P2,VR-D,24,"It is so hard, because it is an imaginary surface that may exist or not",,,,,,,,,1,,,,,,,,,
1,P11,VR-D,25,I dig it,,,1,,,,,,,,,,,,,,,
0,P6,VR-D,25,Im going to stay simple with this one,,,,,,,,,1,,,,,,,,,
1,P11,VR-D,26,That will do it for me,,,1,,,,,,,,,,,,,,,
1,P3,VR-D,26,Ha laugh,,,1,,,,,,,,,,,,,,,
0,P6,VR-D,26,Wavy representation a bit,,,,,,,,,,,,,,,,,,
1,P11,VR-D,27,It looks unabashedly goofy happy,,,1,,,,,,,,,,,,,,1,
1,P3,VR-D,27,Its is harder that it seems,,,,,,,,,1,,,,,,,,,
1,P3,VR-D,28,Laugh,,,1,,,,,,,,,,,,,,,
1,P11,VR-D,28,Neutral – something like my first thought the circle,,,,,,,,,,,,,,,,,,
0,P2,VR-D,29,“that looks good”,,,,,,,,,,,,,,,,,1,
1,P3,VR-D,29,Its very wooblly,,,,,,,,,,,,,,,,,1,
1,P11,VR-D,29,Squiggly is too steep. Too much ups and downs,,,,,,,,,,,,,,,,,,
0,P6,VR-D,29,Drew in wrong shape,,,,,,,,,,,,,,,,,,
1,P3,VR-D,30,Haha,,,1,,,,,,,,,,,,,,,
0,P6,VR-D,30,Wow it actually made it the two sections intersect,,,,,,,,,,,,,,,,,,
1,P11,VR-D,31,Thoughts but not overly polarized,,,,,,,,,,,,,,,,,,
1,P3,VR-D,31,Its harder to draw in 3D than it appears,,,,,,,,,1,,,,,,,,,
0,P2,VR-D,32,If I had hours I could come with something way more personal,,,,,,,,,1,,,,,,,,,
1,P3,VR-D,32,<hard to think of what to draw>,,,,,,,,,1,,,,,,,,,
0,P2,VR-D,33,“It does make it more personal because I am constructing it”,,,,,,?,,,,,,,,,,1,,
1,P3,VR-D,33,Fills up the shape,,,,,,,,,,,,,,,,,,
0,P6,VR-D,33,"Bipolar: looks like more neg than pos, notably more than neutral, intense week I guess",,,,,,,,1,,,,,,,,,,
1,P3,VR-D,34,Laugh,,,1,,,,,,,,,,,,,,,
1,P11,VR-D,34,"Proportions: 1 negative, 3 neutral, 5 positive",correct,,,,,,,1,,,,,,,,,,
0,P2,VR-D,34,"2/3 of sad compare to neutral, 1/3 from happy to neutral 50/50 split neutral – others",correct,,,,,,,1,,,,,,,,,,
0,P6,VR-D,34,Maybe 4 to 3 neg to pos. 4 to 1 neg to neutral. 3 to 1 pos to neutral,over,,,,,,,1,,,,,,,,,,
1,P11,VR-D,35,"Count: 72 negative, 133 neutral, 221 positive",,under,,,,,,1,,,,,,,,,,
0,P2,VR-D,35,Close to 300 neutrals [start counting on row] 15x10 for sadness,,correct,,,,,,1,,,,,,,,,,
0,P6,VR-D,35,"Neg 120, pos 100 neutral 50 range.",,under,,,,,,1,,,,,,,,,,
1,P9,VR-D,36,Looks at the shape and say it feels good,,,,,,,,,,,,,,,,1,,
1,P3,VR-D,36,Mmm,,,,,,,,,1,,,,,,,,,
1,P3,VR-D,37,Yeah,,,1,,,,,,,,,,,,,,,
1,P3,VR-D,38,I don’t know,,,,,,,,,1,,,,,,,,,
1,P9,VR-D,39,I like the shapes way more in the box than they appear in the field. Just because it feels like when they are close to me they feel big and vibrant. It is challenge to make something look good in 3D when I don’t have practice with the pen. Especially compre with the shape I was looking before they all look for skeleton. Was going for mountain but look like jello to me.,,,,,,,,,1,,,,,,,,1,
1,P7,VR-D,39,Sigh,,,,,,,,,,,,,,,,,,
1,P13,VR-D,40,Oh jeez. so much fun,,,1,,,,,,,,,,,,,,,
1,P3,VR-D,40,Hard to fill things in as well,,,,1,,,,,1,,,,,,,,,
1,P7,VR-D,40,These days are crap and don’t really count for anything,,,,,,,,,,,,,,,,,,
1,P9,VR-D,40,"Neutral is the hardest cause you don’t feel anything, it s neutral. How do I represent that?",,,,,,,,,1,,,,,,,,,
1,P13,VR-D,41,fun,,,1,,,,,,,,,,,,,,,
1,P7,VR-D,41,Feel up the shape,,,,,,,,,,,,,,,,,,
1,P9,VR-D,41,"Im going to go with black cylinder. Not feeling quite as natury for this one. Again looks good in the cube, but in the field because its like skeleton they blend each other in the back. I don’t think I can do much better",,,,,,,,1,1,,,,,,,,,
1,P13,VR-D,42,really fun,,,1,,,,,,,,,,,,,,,
1,P3,VR-D,42,Laugh,,,1,,,,,,,,,,,,,,,
1,P7,VR-D,42,Red square,,,,,,,,,,,,,,,,,,
1,P9,VR-D,42,"Mostly neutral week: mostly netrual, little less than half neutral and positive, and negative is half neutral.",over,,,,,,,1,,,,,,,,,,
1,P13,VR-D,43,I like the red. i started with it. so vibrant,,,,,,,,,,,,,,,,,1,
1,P3,VR-D,43,Its kind of fun doing this,,,1,,,,,,,,,,,,,,,
1,P7,VR-D,43,Yellow and thinking of a shape,,,,,,,,,1,,,,,,,,,
1,P9,VR-D,43,"Count: I feel like for positive – 200, neutral – 250, neg-100.",,correct-under,,,,,,1,,,,,,,,,,
1,P3,VR-D,44,But when you look at the result of this is not what you would expect,,,,,,,,,,,,,,,,,1,
1,P7,VR-D,44,A little more height,,,,1,,,,,,,,,,,,,,
1,P3,VR-D,45,Laugh,,,1,,,,,,,,,,,,,,,
1,P7,VR-D,45,Don’t need it filled in,,,,,,,,,,,,,,,,,,
1,P3,VR-D,46,“im really just experimenting ”,,,,,,,,,,,,,,,,,,
1,P7,VR-D,46,I don’t know,,,,,,,,,1,,,,,,,,,
1,P3,VR-D,47,“yikes” laugh,,,1,,,,,,,,,,,,,,1,
1,P7,VR-D,47,Purple is happy color. Not the same shape,,,,,,,,,,,,,,,,1,,
1,P13,VR-D,47,[negative] I don’t know what to,,,,,,,,,1,,,,,,,,,
1,P7,VR-D,48,I picked green because it goes with the theme.,,,,,,,,,,,,,,,,,1,
1,P13,VR-D,48,Yeah it looks good,,,,,,,,,,,,,,,,,?,
1,P7,VR-D,49,Green is more memorable for happy,,,,,,,,,,,,,,,,1,,
1,P13,VR-D,49,laugh,,,1,,,,,,,,,,,,,,,
1,P3,VR-D,49,Not good for people that are perfectionist. I try not to be. I probably was.,,,,,,,,,1,,,,,,,,,
1,P7,VR-D,50,Filled colors,,,,,,,,,,,,,,,,,,
1,P3,VR-D,51,I don’t have a brown color,,,,,,,,,,,,,,,,,,
1,P7,VR-D,52,Struggling to find a positive 3d shape,,,,,,,,,1,,,,,,,,,
1,P3,VR-D,53,Laugh,,,1,,,,,,,,,,,,,,,
1,P7,VR-D,53,I don’t know how to draw this in 3D,,,,,,,,,1,,,,,,,,,
1,P7,VR-D,54,"Big star, happy day",,,,,,,,,,,,,,,,,,
1,P3,VR-D,55,Reflects my lack of creativity,,,,?,,,,,,,,,,,,1,,
1,P13,VR-D,55,sigh,,,,1,,,,,,,,,,,,,,
1,P7,VR-D,55,Filling the shape,,,,,,,,,,,,,,,,,,
1,P3,VR-D,56,Maybe informed by my experience with what I tried to draw,,,,,,,,,,,,,,,,,,1
1,P7,VR-D,56,How to make it look like a star,,,,,,,,,1,,,,,,,,,
1,P3,VR-D,57,Coming up with what is a coherent shape in black.,,,,,,1,,,,,,,,,,,,
1,P7,VR-D,57,Looks like a blob but im trying here.,,,,,,,,,1,,,,,,,,,
1,P3,VR-D,59,"Thinking of what could be neutral. There is good and bad, and nothing in between.",,,,,,,,,1,,,,,,,,,
1,P13,VR-D,60,50% 30% 20%,correct,,,,,,,1,,,,,,,,,,
1,P3,VR-D,60,Using blue to draw a flat shape on the floor.,,,,,,1,,,,,,,,,,,,
1,P7,VR-D,60,"¼ bad day, 4 good days, 2ish medium days",correct,,,,,,,1,,,,,,,,,,
1,P3,VR-D,61,Laugh,,,1,,,,,,,,,,,,,,,
1,P13,VR-D,61,300 200 100,,correct,,,,,,1,,,,,,,,,,
1,P3,VR-D,62,Filling up the shape in color,,,,,,,,,,,,,,,,,,
1,P3,VR-D,64,Make it less 1D,,,,,,1,,,,,,,,,,,,
1,P3,VR-D,66,Now there is very little between the negative and neutral,,,,,,,,,,,,,,,,,,
1,P3,VR-D,67,Laugh “I don’t know what that is”,,,1,,,,,,1,,,,,,,,1,
1,P3,VR-D,68,The whole thing put together. I don’t know,,,,,,,,,1,,,,,,,,1,
1,P3,VR-D,69,Im struggling to come up with anything better I guess. Just hard for finding iconographs.,,,,,,,,,1,,,,,,,,,1
1,P3,VR-D,72,Counting – something like 200,,,,,,,,1,,,,,,,,,,
1,P3,VR-D,73,350 on neutral,,correct,,,,,,1,,,,,,,,,,
1,P5,VR-D,79,Laugh,,,1,,,,,,,,,,,,,,,
1,P5,VR-D,80,Makes sounds as she drwas and fun,,,1,,,,,,,,,,,,,,,
1,P5,VR-D,81,Makes squiggly thing,,,,,,,,,,,,,,,,,,
1,P5,VR-D,82,Disorienting – hard to get a feel.,,,,,,,,,1,,,,,,,,,
1,P5,VR-D,83,Weird to work in a sace like this with no physical resistance,,,,?,,,,,1,,,,,,,,,
1,P5,VR-D,86,Positive experience. It is generally depending on the cake.,,,1,,,,,,,,,,,,,,,
1,P5,VR-D,90,"Singing,",,,1,,,,,,,,,,,,,,,
1,P5,VR-D,91,Way too much fun,,,1,,,,,,,,,,,,,,,
1,P5,VR-D,92,Laugh,,,1,,,,,,,,,,,,,,,
1,P5,VR-D,93,"Id ont have a lot of fun in my day, this is nice",,,1,,,,,,,,,,,,,,,
1,P5,VR-D,94,Pretty accurate with erasing,,,,,,,,,,,,,,,,,,
1,P5,VR-D,95,Im thinking of doing something different. I want to use a black but this is too dark. Id go with grey. But id go with pastels so green,,,,,,1,,,,,,,,,,,,
1,P5,VR-D,97,Since im going to flower theme apparently,,,,,,1,,,,,,,,,,,,
1,P5,VR-D,98,Laugh,,,1,,,,,,,,,,,,,,,
1,P5,VR-D,99,Pfiou so hard,,,,,,,,,1,,,,,,,,,
1,P5,VR-D,100,Too low – start higher,,,,,,,,,,,,,,,,,,
1,P5,VR-D,101,Master piece,,,,,,,,,,,,,,,,,1,
1,P5,VR-D,102,It is really fun btw,,,1,,,,,,,,,,,,,,,
1,P5,VR-D,103,Is it just a default thing.,,,,,,,,,,,,,,,,,,
1,P5,VR-D,104,Takes time drawing,,,,,,,,,1,,,,,,,,,
1,P5,VR-D,108,"Laughing So sad,",,,1,,,,,,,,,,,,,,,
1,P5,VR-D,110,"Back on positive “what if I destroy it, I like it too much”",,,,,,,,,1,,,,,,,,1,
1,P5,VR-D,111,Singing,,,1,,,,,,,,,,,,,,,
1,P5,VR-D,112,"OK – I thought a lot, I dit not think much of it. Some positive, lot more negative. But general neutral.",,,,,,,,1,,,,,,,,,,
1,P5,VR-D,113,Smallest positive – 100 or less neutral 400 hard to gage – 300-200 negative,,correct-over,,,,,,1,,,,,,,,,,
